TimeStamp,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz
13:09:56,0,0,0,0,0,0,0,0,0
13:29:06,-836,-134,541,-213,-82,4353,343,98,548
13:29:06,-693,-302,649,-300,-51,4390,363,80,554
13:29:06,-610,-269,864,-222,5,4646,353,97,542
13:29:06,-568,-193,886,-493,48,4387,353,97,542
13:29:06,-644,33,1123,-395,169,4344,360,76,545
13:29:06,-623,-318,643,-366,-15,4355,352,93,553
13:29:06,-538,-174,764,-405,45,4391,352,93,553
13:29:07,-738,-56,641,-414,133,4387,352,86,557
13:29:07,-527,-64,943,-510,24,4424,349,90,536
13:29:07,-435,-325,1028,-517,152,4453,349,90,536
13:29:07,-590,35,760,-329,129,4623,357,86,553
13:29:07,-439,-414,482,-416,11,4376,346,97,549
13:29:07,-709,-292,517,-142,-198,4362,346,97,549
13:29:07,-506,-120,536,-533,184,4420,353,78,556
13:29:07,-657,-166,730,-464,147,4425,350,93,544
13:29:07,-807,-325,801,-515,25,4621,350,93,544
13:29:07,-823,-335,1102,-292,143,4377,366,77,548
13:29:07,-580,-99,819,-348,-170,4423,342,97,547
13:29:08,-521,-129,703,-434,5,4340,342,97,547
13:29:08,-746,-193,643,-508,-120,4599,353,83,552
13:29:08,-903,-474,903,-466,61,4528,352,98,546
13:29:08,-724,-105,673,-202,-181,4408,355,91,553
13:29:08,-640,-219,404,-280,0,4333,348,91,544
13:29:08,-697,-110,549,-348,140,4490,352,86,548
13:29:08,-837,-339,885,-391,-37,4388,355,96,548
13:29:08,-458,-376,627,-669,-174,4331,352,93,550
13:29:08,-472,-250,963,-597,-314,4499,343,100,546
13:29:09,-683,-237,429,-249,116,4401,363,90,558
13:29:09,-827,-183,359,-282,-54,4276,344,95,547
13:29:09,-780,-329,778,-478,-141,4258,348,93,546
13:29:09,-743,-292,506,-446,5,4486,348,93,546
13:29:09,-754,-271,1004,-586,64,4206,362,86,560
13:29:09,-495,-214,695,-611,279,4554,356,95,556
13:29:09,-655,-179,1262,-581,297,4551,356,95,556
13:29:09,-661,-306,970,-450,-9,4673,353,87,556
13:29:09,-762,-255,987,-379,21,4376,350,96,550
13:29:09,-692,-87,1106,-384,-48,4553,350,96,550
13:29:10,-662,-132,345,-354,49,4064,360,83,556
13:29:10,-655,-212,667,-286,409,4295,346,97,536
13:29:10,-710,-159,644,-458,-158,4501,346,97,536
13:29:10,-721,-191,677,-274,76,4450,362,84,546
13:29:10,-771,-438,754,-354,197,4450,352,81,546
13:29:10,-507,-121,822,-353,28,4611,352,81,546
13:29:10,-525,-146,364,-456,43,4576,346,87,549
13:29:10,-622,-176,890,-458,-166,4540,351,95,540
13:29:10,-670,-454,512,-572,-145,4592,353,90,556
13:29:10,-657,-193,831,-190,41,4301,352,103,546
13:29:11,-555,-319,643,-266,-221,4404,344,90,545
13:29:11,-574,-149,916,-223,-68,4491,356,85,547
13:29:11,-579,73,1029,-400,39,4497,351,85,540
13:29:11,-720,-158,1038,-459,109,4410,350,81,539
13:29:11,-665,-284,1013,-511,133,4338,352,81,550
13:29:11,-675,-384,788,-360,66,4429,344,99,538
13:29:11,-1009,32,941,-380,285,4648,350,96,557
13:29:11,-659,-313,537,-394,135,4507,363,80,558
13:29:11,-668,-210,153,-454,106,4439,345,93,546
13:29:11,-895,-273,889,-437,-123,4478,346,92,547
13:29:12,-711,-183,359,-244,470,4323,346,92,547
13:29:12,-977,-301,284,-637,-120,4395,356,85,556
13:29:12,-587,-208,697,-476,52,4220,344,102,552
13:29:12,-602,-423,824,-201,88,4630,349,80,561
13:29:12,-646,-90,924,-129,10,4246,340,98,541
13:29:12,-919,-379,827,-359,-155,4450,346,97,538
13:29:12,-677,-289,498,-422,40,4474,355,81,553
13:29:12,-824,-229,727,-590,-44,4386,352,100,555
13:29:12,-576,-286,1004,-532,-16,4430,340,91,544
13:29:12,-511,14,558,-358,-145,4337,340,91,544
13:29:13,-601,-393,451,-376,-186,4424,362,79,557
13:29:13,-544,-221,805,-238,-95,4237,350,89,550
13:29:13,-822,-466,856,-410,197,4697,348,84,541
13:29:13,-588,-102,687,-423,201,4310,351,92,542
13:29:13,-495,-409,498,-414,141,4348,336,89,539
13:29:13,-758,-74,733,-583,128,4483,351,87,554
13:29:13,-744,7,889,-205,11,4428,357,93,548
13:29:13,-743,-218,679,-304,258,4353,352,93,548
13:29:13,-719,-231,386,-411,153,4311,351,92,554
13:29:13,-753,-182,775,-666,-108,4574,350,96,544
13:29:13,-427,-316,562,-276,-5,4282,351,92,549
13:29:14,-551,-92,516,-398,-144,4453,345,81,564
13:29:14,-651,-415,726,-575,-43,4225,337,92,554
13:29:14,-586,5,933,-603,13,4452,349,90,536
