TimeStamp,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz
13:10:09,0,0,0,0,0,0,0,0,0
13:21:36,1378,302,-146,831,292,4104,541,55,1693
13:21:36,630,329,-359,344,106,4134,541,62,1700
13:21:36,888,211,-460,577,222,4111,542,52,1697
13:21:36,1412,308,-150,617,209,4091,553,55,1689
13:21:36,1300,273,-82,532,302,4172,554,64,1688
13:21:36,1090,416,-201,268,-85,4074,546,58,1693
13:21:36,1428,120,-284,446,304,4208,540,61,1694
13:21:36,1625,309,-89,-75,271,4202,546,58,1696
13:21:36,1099,352,-147,274,77,4322,543,60,1689
13:21:36,936,386,-168,435,90,4233,537,61,1688
13:21:36,1044,161,-355,603,95,3963,540,52,1688
13:21:37,1249,319,-286,346,38,4151,549,56,1697
13:21:37,1046,329,-327,316,198,4319,543,58,1686
13:21:37,771,226,-241,412,172,4164,548,55,1693
13:21:37,1312,214,-268,352,-156,4206,540,61,1694
13:21:37,1395,211,-147,355,282,4265,559,54,1681
13:21:37,1497,229,-435,529,195,4114,549,47,1699
13:21:37,1272,213,-412,629,181,3890,542,56,1699
13:21:37,794,209,-137,203,345,4263,545,64,1692
13:21:37,907,212,-308,639,154,4090,545,59,1690
13:21:37,1154,246,-311,512,251,4056,532,66,1701
13:21:38,1376,254,-70,491,359,4196,553,53,1691
13:21:38,1081,429,-254,346,232,4138,551,62,1691
13:21:38,1270,502,-368,563,359,4097,539,50,1693
13:21:38,1408,274,-186,437,-1,4097,547,56,1688
13:21:38,1060,234,-289,468,299,4193,545,56,1699
13:21:38,942,195,-364,509,308,4240,548,53,1698
13:21:38,1084,201,30,675,-50,4294,542,52,1688
13:21:38,1079,75,-390,442,439,4275,540,64,1697
13:21:38,1106,236,-418,194,385,4035,543,65,1700
13:21:39,993,508,-104,330,85,4169,537,54,1688
13:21:39,1204,169,-40,273,246,4124,549,64,1690
13:21:39,1149,203,-181,404,271,4199,545,49,1692
13:21:39,1729,297,-332,298,172,4277,542,49,1690
13:21:39,1164,100,-357,491,42,4240,559,61,1704
13:21:39,1724,245,-129,729,139,4226,548,65,1698
13:21:39,1164,191,-251,353,-207,4374,543,60,1703
13:21:39,1571,201,-292,557,329,4045,553,60,1700
13:21:39,1224,161,-253,604,494,4287,551,72,1696
13:21:39,762,140,-240,649,74,3999,546,62,1689
13:21:39,928,334,58,448,132,4025,536,62,1696
13:21:40,971,357,-162,345,272,4025,545,56,1697
13:21:40,1082,-34,-338,585,-43,4187,540,56,1694
13:21:40,827,260,-408,474,219,4028,553,65,1691
13:21:40,1062,256,-203,664,539,4086,546,62,1689
13:21:40,1099,241,-167,412,181,4255,539,55,1693
13:21:40,1043,351,-244,589,282,4193,545,69,1699
13:21:40,1223,377,66,371,312,4108,552,64,1692
13:21:40,1272,413,18,597,178,4177,545,61,1692
13:21:40,1096,251,-170,421,251,4310,549,64,1697
13:21:40,1219,97,-289,546,130,3991,545,54,1690
13:21:41,1164,284,-182,699,51,4157,537,54,1688
13:21:41,1273,311,-158,202,125,4121,549,56,1694
13:21:41,1190,322,-154,542,46,4131,551,67,1691
13:21:41,1040,387,-178,402,315,4078,543,62,1698
13:21:41,1001,322,-376,264,269,4282,549,61,1701
13:21:41,1106,317,-207,459,291,4322,548,60,1689
13:21:41,1491,48,-272,366,313,3922,547,64,1685
13:21:41,1367,181,-493,536,124,4153,543,65,1698
13:21:41,858,184,-28,481,340,4112,535,71,1692
13:21:42,951,-189,-115,469,-86,4137,536,67,1686
13:21:42,1192,366,-364,500,224,3879,540,64,1692
13:21:42,1200,259,-143,498,82,4052,537,66,1688
13:21:42,1235,110,-174,533,36,4235,545,64,1690
13:21:42,1443,153,-252,614,-24,4166,551,60,1689
13:21:42,1167,63,-229,226,286,4131,531,55,1693
13:21:42,855,303,-220,462,28,4031,542,61,1701
13:21:42,923,186,-130,473,408,4264,557,54,1706
13:21:42,1180,116,-112,657,-115,4000,541,60,1686
13:21:42,1244,345,-181,425,81,4207,547,54,1697
13:21:42,959,308,-391,439,137,4099,542,66,1692
13:21:43,1267,445,-167,213,-109,4104,534,60,1698
13:21:43,1734,457,-132,331,-179,4389,539,58,1693
13:21:43,1224,363,-332,683,188,4277,554,59,1699
13:21:43,1504,278,-130,567,361,4145,542,61,1704
13:21:43,948,102,-275,509,360,4032,543,58,1698
13:21:43,1264,410,-25,588,254,4121,540,61,1685
13:21:43,1569,403,-203,483,125,4423,542,56,1692
13:21:43,1348,121,-122,528,386,4143,537,52,1694
13:21:43,1209,265,-375,641,337,4080,539,55,1698
13:21:43,1461,336,-149,340,271,4045,548,72,1686
13:21:44,1429,436,-170,527,153,3984,543,60,1696
13:21:44,1161,118,-344,556,202,4334,542,69,1699
13:21:44,1273,334,-158,506,-84,4238,546,46,1703
13:21:44,1440,275,73,420,408,4027,548,50,1684
13:21:44,984,194,-168,366,507,4160,552,61,1694
13:21:44,1290,355,-78,373,421,4107,548,58,1700
13:21:44,1322,-5,-118,395,-14,4233,539,65,1689
13:21:44,1374,85,-26,328,278,4219,546,60,1700
13:21:44,1394,162,-115,490,301,4051,549,59,1692
13:21:45,1274,309,-187,536,19,4281,543,58,1693
13:21:45,716,119,-357,570,178,4051,545,54,1688
13:21:45,1211,349,-274,257,-55,4330,540,66,1690
13:21:45,1096,227,-257,463,258,4221,541,55,1693
