TimeStamp,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz
13:09:56,0,0,0,0,0,0,0,0,0
13:14:01,-509,-274,339,-3170,-1802,2564,624,279,580
13:14:01,-552,-202,353,-2875,-1894,2318,635,269,573
13:14:01,-313,-206,95,-2890,-1645,2317,625,282,574
13:14:01,-758,-102,259,-3000,-1743,2344,622,270,572
13:14:01,-642,-67,423,-3072,-1832,2118,618,275,572
13:14:01,-390,-308,414,-3186,-1819,2641,627,275,577
13:14:01,-542,-152,440,-3233,-1756,2285,628,264,576
13:14:01,-655,-129,206,-3011,-1737,2395,626,279,576
13:14:01,-716,-217,472,-3005,-1814,2380,622,270,572
13:14:02,-546,-336,497,-3154,-1878,2213,626,274,571
13:14:02,-664,-199,215,-3200,-1739,2387,619,276,566
13:14:02,-733,-230,254,-2932,-1753,2529,624,274,569
13:14:02,-598,-145,528,-3275,-1958,2283,637,277,577
13:14:02,-1042,-389,701,-3031,-1544,2318,625,275,574
13:14:02,-795,-258,434,-3134,-1760,2178,626,276,576
13:14:02,-785,-74,410,-2926,-1698,2504,629,268,574
13:14:02,-722,-260,376,-3078,-1951,2414,627,280,568
13:14:02,-748,-194,501,-3162,-1814,2453,621,279,576
13:14:02,-590,-253,414,-3069,-1666,2413,628,274,573
13:14:03,-517,-355,581,-3124,-1783,2536,629,289,568
13:14:03,-600,-336,623,-3056,-1607,2526,635,269,573
13:14:03,-450,-551,507,-3109,-1605,2325,625,282,579
13:14:03,-606,-282,649,-3105,-1687,2562,637,263,574
13:14:03,-575,-202,385,-3045,-1439,2143,622,285,572
13:14:03,-591,-99,476,-3163,-1649,2395,632,285,570
13:14:03,-875,-270,366,-3023,-1811,2172,628,271,566
13:14:03,-543,-388,349,-3354,-1590,2351,625,277,572
13:14:03,-741,-223,592,-3132,-1668,2365,627,273,581
13:14:03,-507,-282,273,-3157,-1818,2267,622,273,572
13:14:04,-735,-274,389,-3208,-1910,2445,627,275,563
13:14:04,-562,-446,217,-3169,-1439,2111,627,277,563
13:14:04,-537,-184,306,-3150,-1525,2550,613,277,572
13:14:04,-626,-360,413,-3254,-1780,2298,621,281,571
13:14:04,-696,-251,290,-3126,-1708,2330,626,283,582
13:14:04,-948,-397,272,-3062,-1741,2586,631,281,576
13:14:04,-591,-585,450,-3001,-1736,2265,627,277,570
13:14:04,-734,-171,380,-3093,-1777,2200,625,280,577
13:14:04,-631,-282,211,-3127,-1515,2428,629,275,565
13:14:04,-688,-74,566,-2950,-1828,2392,622,275,574
13:14:05,-562,-151,215,-3010,-1948,2387,616,271,573
13:14:05,-347,-49,447,-3238,-1912,2602,632,275,574
13:14:05,-554,-278,63,-2892,-1925,2248,622,280,568
13:14:05,-420,-460,338,-2960,-1776,2546,622,285,574
13:14:05,-559,-398,214,-3170,-1577,2323,620,277,577
13:14:05,-570,-269,198,-2880,-1762,2448,627,280,581
13:14:05,-750,-231,281,-3225,-1765,2117,622,285,581
13:14:05,-519,-282,487,-2962,-1716,2398,625,280,570
13:14:05,-846,-154,369,-3068,-1845,2625,624,276,580
13:14:05,-570,-270,260,-3165,-1692,2284,631,276,580
13:14:06,-509,-176,337,-3038,-1761,2245,627,273,579
13:14:06,-429,-207,224,-2973,-1839,2344,628,267,573
13:14:06,-448,-133,417,-2967,-1883,2435,632,268,579
13:14:06,-397,-201,332,-3248,-1835,2412,628,276,580
13:14:06,-553,-217,586,-3059,-1962,2439,631,274,587
13:14:06,-309,-188,373,-3026,-1590,2375,632,275,586
13:14:06,-483,-210,424,-3174,-1672,2172,624,267,573
13:14:06,-606,-269,345,-3054,-1753,2406,632,282,570
13:14:06,-495,-157,664,-3045,-1725,2415,629,277,593
13:14:06,-538,-487,408,-3246,-2003,2111,621,269,582
13:14:07,-780,-228,281,-2890,-1780,2296,620,266,572
13:14:07,-1019,-421,323,-3186,-1587,2725,629,273,579
13:14:07,-1084,-334,480,-3056,-1701,2462,629,277,577
13:14:07,-885,-309,486,-3209,-1894,2267,626,286,576
